State,City,Location,Year,SO2 monitoring Days / Year,SO2 Minimum,SO2 Maximum,SO2 Annual Avg,NO2 monitoring Days / Year,NO2 Minimum,NO2 Maximum,NO2 Annual Avg,PM10 monitoring Days / Year,PM10 Minimum,PM10 Maximum,PM10 Annual Avg,PM25 monitoring Days / Year,PM25 Minimum,PM25 Maximum,PM25 Annual Avg
Andhra Pradesh,Anantapur,"APIIC, Zonal office, Industrial Estate",2018,98,4,9,4,98,10,28,17,99,18,129,65,0,0,0,0
Andhra Pradesh,Anantapur,"Cancer Unit. G.G.Hsharada Nagar, JNTU Road",2018,100,4,6,4,100,10,22,13,100,15,104,55,0,0,0,0
Andhra Pradesh,Anantapur,"D.No.6/5/545, Ram Nagar Colony",2018,99,4,13,4,99,11,31,19,99,26,145,78,0,0,0,0
Andhra Pradesh,Anantapur,Kamala Nagar,2016,106,4,6,5,106,10,17,13,106,33,187,85,0,0,0,0
Andhra Pradesh,Anantapur,Kamala Nagar,2017,110,4,8,5,110,11,50,18,111,28,184,78,0,0,0,0
Andhra Pradesh,Anantapur,Kamala Nagar,2018,98,4,11,5,98,14,54,26,100,20,179,87,47,7,102,34
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,2016,106,4,11,6,106,12,144,40,106,19,130,60,0,0,0,0
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,2017,102,3,9,5,101,12,139,75,103,21,124,68,0,0,0,0
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,2018,100,2,22,7,100,6,92,45,100,18,157,72,49,4,77,26
Andhra Pradesh,Chitoor,"Mining Office, Greamspet",2018,39,4,6,5,39,13,20,15,40,37,165,58,0,0,0,0
Andhra Pradesh,Chitoor,"Near M/s. Nutrine Confectionery, Palamaner Road",2016,108,5,8,6,108,10,17,13,108,53,72,63,0,0,0,0
Andhra Pradesh,Chitoor,"Near M/s. Nutrine Confectionery, Palamaner Road",2017,106,4,7,5,106,10,23,13,111,38,89,69,0,0,0,0
Andhra Pradesh,Chitoor,"Near M/s. Nutrine Confectionery, Palamaner Road",2018,104,4,12,5,103,12,69,18,106,37,200,63,18,7,62,28
Andhra Pradesh,Chitoor,Sankar Foundary,2018,43,4,7,5,43,13,29,16,43,38,92,55,0,0,0,0
Andhra Pradesh,Eluru,At Ashram Diagnostic Centre,2016,108,5,6,5,108,25,34,30,108,57,103,70,0,0,0,0
Andhra Pradesh,Eluru,At Ashram Diagnostic Centre,2017,112,4,13,5,112,21,36,26,112,48,100,74,0,0,0,0
Andhra Pradesh,Eluru,At Ashram Diagnostic Centre,2018,107,4,6,5,107,18,27,23,107,57,85,75,0,0,0,0
Andhra Pradesh,Eluru,District Headquarters hospital,2018,107,5,6,5,107,18,30,22,107,52,76,64,0,0,0,0
Andhra Pradesh,Eluru,"M/s Laxmi Propylene Ltd., Plot.No. 25, Industrial Park, Satrampadu",2018,44,5,6,5,44,18,30,21,44,56,76,63,0,0,0,0
Andhra Pradesh,Eluru,"Somalingeswara nilayam D.N.7B-18-5, Thooru Veedhi, Eastern street, Paidichintaadu",2018,16,5,6,5,16,19,30,20,16,58,71,64,0,0,0,0
Andhra Pradesh,Guntur,"A.P. Pollution Control Board, D.No.4-5-4/5C,4/3, Navabharath nagar, Ring Road",2018,102,4,14,5,102,19,29,22,102,32,125,50,0,0,0,0
Andhra Pradesh,Guntur,Distirct Industries Center office Buiding Autonagar,2018,27,5,7,5,27,18,29,21,27,37,81,45,0,0,0,0
Andhra Pradesh,Guntur,Government General hospital,2018,27,5,7,5,27,18,29,21,27,32,125,42,0,0,0,0
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",2016,101,5,6,5,101,26,33,29,101,73,101,88,0,0,0,0
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",2017,113,5,6,5,113,20,35,26,113,46,87,69,0,0,0,0
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",2018,101,4,7,5,101,18,28,22,101,41,147,60,0,0,0,0
Andhra Pradesh,Kadapa,"DIC Office,Kadapa",2018,108,4,7,5,108,12,34,16,108,35,123,59,0,0,0,0
Andhra Pradesh,Kadapa,"Devi Diabetes & Hormone Centre, 7 Roads",2018,97,4,12,5,97,13,32,18,98,36,136,63,0,0,0,0
Andhra Pradesh,Kadapa,Municipal Primary School,2018,23,4,6,5,23,13,33,16,23,41,128,63,0,0,0,0
Andhra Pradesh,Kadapa,"Near ICL Industries, Yerragunta, YSR",2018,106,4,8,5,106,12,28,19,106,41,103,69,20,7,43,28
Andhra Pradesh,Kadapa,"Near ICL, Yerraguntla, YSR",2016,108,5,8,7,108,10,19,15,108,55,103,68,0,0,0,0
Andhra Pradesh,Kadapa,"Near ICL, Yerraguntla, YSR",2017,110,4,7,5,110,10,30,13,111,51,119,74,0,0,0,0
Andhra Pradesh,Kadapa,RIMS,2018,43,5,7,5,43,14,19,16,43,31,78,51,0,0,0,0
Andhra Pradesh,Kakinada,"Gram Panchayathi building, Surya rao peta",2018,105,6,14,10,105,12,33,21,106,29,149,74,0,0,0,0
Andhra Pradesh,Kakinada,"MEE/MEPMA building, Salipeta",2018,104,6,16,10,104,13,32,21,105,25,195,69,0,0,0,0
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,2016,101,6,11,8,101,13,25,18,102,39,75,64,0,0,0,0
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,2017,105,6,18,8,105,11,32,18,107,41,209,66,0,0,0,0
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,2018,98,6,15,9,98,12,52,21,101,18,179,74,13,32,110,66
Andhra Pradesh,Kakinada,Petrochemical Eng. Of JNTU Campus,2018,27,6,12,9,27,13,25,19,27,41,160,90,0,0,0,0
Andhra Pradesh,Kurnool,"APIIC Building Industrial estate, Kallur at IDA Bobbili Growth Center",2018,78,4,9,5,78,12,27,19,78,34,129,73,0,0,0,0
Andhra Pradesh,Kurnool,"Mourya Inn, Krishna Nagar",2016,108,4,5,5,108,9,15,11,108,22,129,69,0,0,0,0
Andhra Pradesh,Kurnool,"Mourya Inn, Krishna Nagar",2017,111,4,8,5,111,10,41,15,112,26,226,82,0,0,0,0
Andhra Pradesh,Kurnool,"Mourya Inn, Krishna Nagar",2018,105,4,9,4,105,10,22,14,105,18,129,69,50,8,65,26
Andhra Pradesh,Kurnool,"Pump House, Venkataramana Colony",2018,104,4,8,4,104,10,23,14,104,16,91,49,0,0,0,0
Andhra Pradesh,Kurnool,Rajvihar Circle,2018,103,4,10,5,103,12,46,25,103,24,120,74,0,0,0,0
Andhra Pradesh,Nellore,Chandramouli nagar,2018,34,5,6,5,34,17,26,21,34,58,79,64,0,0,0,0
Andhra Pradesh,Nellore,"D. No.15-471, James Garden, Venkata Ramapuram, Nellore, SPSR Nellore District",2018,106,4,6,5,106,17,27,23,106,57,96,64,0,0,0,0
Andhra Pradesh,Nellore,"Dr.P.V. Rama chandra Reddy Hospital, Brindavnam",2018,34,5,6,5,34,17,28,21,34,57,68,61,0,0,0,0
Andhra Pradesh,Nellore,"Venkatareddy Nagar, Vedayapalem",2018,106,5,6,5,106,17,40,23,106,58,88,65,4,32,38,34
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",2016,107,4,6,5,107,9,33,28,107,62,76,66,0,0,0,0
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",2017,112,4,6,5,112,20,34,27,112,58,102,65,0,0,0,0
Andhra Pradesh,Ongole,"APIIC , Administrative Office, IGS",2018,34,5,6,5,34,17,25,21,34,60,71,65,0,0,0,0
Andhra Pradesh,Ongole,"Near Court Center, Ongole",2018,106,5,6,5,106,18,27,23,106,58,101,65,0,0,0,0
Andhra Pradesh,Ongole,Ongole Municipal Corporation,2018,34,5,7,5,34,18,29,21,34,61,91,68,0,0,0,0
Andhra Pradesh,Ongole,Prakasam Milk Produce Compay,2018,34,4,8,5,34,18,26,21,34,60,73,66,0,0,0,0
Andhra Pradesh,Prakasam,"Near Court Center, Ongole",2016,98,4,6,5,98,9,36,29,98,60,70,65,0,0,0,0
Andhra Pradesh,Prakasam,"Near Court Center, Ongole",2017,110,5,6,5,110,21,35,27,110,59,98,65,0,0,0,0
Andhra Pradesh,Rajahmundry,Staff Clud Building,2016,0,0,0,0,0,0,0,0,102,47,93,64,0,0,0,0
Andhra Pradesh,Rajahmundry/Rajamahendravaram,"GAIL Administrative Office, A.V. Apparao Road",2018,26,7,12,9,26,13,26,20,26,34,175,99,0,0,0,0
Andhra Pradesh,Rajahmundry/Rajamahendravaram,"MCH Block ,District Hospital, Near Central Prison, Lalacheruvu Road",2018,9,7,10,9,9,16,24,20,9,62,149,112,0,0,0,0
Andhra Pradesh,Rajahmundry/Rajamahendravaram,"Staff Clud Building, A.P. Paper Mill",2016,101,5,10,8,101,13,27,18,0,0,0,0,0,0,0,0
Andhra Pradesh,Rajahmundry/Rajamahendravaram,"Staff Clud Building, A.P. Paper Mill",2017,103,6,13,8,103,11,29,18,103,38,144,65,0,0,0,0
Andhra Pradesh,Rajahmundry/Rajamahendravaram,"Staff Clud Building, A.P. Paper Mill",2018,105,5,13,9,105,10,28,20,107,13,168,72,12,27,107,69
Andhra Pradesh,Srikakulam,District cooparative office at SKLM Old Bridge,2018,104,6,14,10,104,13,28,21,104,58,218,68,0,0,0,0
Andhra Pradesh,Srikakulam,Kushalapuram,2018,17,6,12,9,17,12,25,20,17,60,93,69,0,0,0,0
Andhra Pradesh,Srikakulam,"Muncipal corporation Office, Old Bustand",2018,105,5,15,9,105,12,36,21,105,60,249,73,0,0,0,0
Andhra Pradesh,Srikakulam,"SAMKRG Pistons Quarters Bulding, Near IDA, Pydibhimavaram",2018,97,7,16,10,97,12,30,21,97,57,344,74,0,0,0,0
Andhra Pradesh,Srikakulam,"SAMKRG Pistons Quarters Bulding,Near IDA,Pydibhimavaram",2016,102,6,13,9,102,12,28,20,102,38,115,71,0,0,0,0
Andhra Pradesh,Srikakulam,"SAMKRG Pistons Quarters Bulding,Near IDA,Pydibhimavaram",2017,111,6,13,9,111,10,29,18,111,43,232,70,0,0,0,0
Andhra Pradesh,Tirupati,APPCB-Regional Office,2018,41,4,5,5,41,12,20,14,42,31,109,50,0,0,0,0
Andhra Pradesh,Tirupati,Municipal Office,2018,105,4,6,5,105,11,38,19,107,35,104,69,0,0,0,0
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",2016,106,4,7,6,106,10,15,12,106,44,70,59,0,0,0,0
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",2017,104,3,6,5,104,10,33,12,107,35,105,63,0,0,0,0
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",2018,106,4,7,5,106,12,40,15,107,31,146,51,2,10,14,12
Andhra Pradesh,Tirupati,S.V. Guest house,2018,25,4,6,5,25,13,29,17,26,34,93,63,0,0,0,0
Andhra Pradesh,Vijaywada,"A.P. Pollution Control Board, plot no. 41, Sri",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Vijaywada,"A.P. Pollution Control Board, plot no. 41, Sri Kanakadurga Officers colony, Gurunank Road",2018,103,4,6,5,103,18,27,22,0,0,0,0,0,0,0,0
Andhra Pradesh,Vijaywada,"APIIC,IALA, IDA, Kondaplli",2018,9,5,5,5,9,19,22,20,9,71,84,77,0,0,0,0
Andhra Pradesh,Vijaywada,Autonagar,2016,99,5,7,6,99,33,61,45,99,59,145,104,0,0,0,0
Andhra Pradesh,Vijaywada,Autonagar,2017,111,5,6,6,111,22,41,30,109,69,134,104,0,0,0,0
Andhra Pradesh,Vijaywada,Autonagar,2018,103,4,6,5,103,18,28,23,105,69,108,88,33,25,52,30
Andhra Pradesh,Vijaywada,Benz Circle,2016,99,5,6,5,99,30,57,44,99,59,125,95,0,0,0,0
Andhra Pradesh,Vijaywada,Benz Circle,2017,110,5,46,6,109,22,44,29,108,65,119,94,0,0,0,0
Andhra Pradesh,Vijaywada,Benz Circle,2018,103,4,6,5,105,17,66,22,105,49,105,84,36,24,48,29
Andhra Pradesh,Vijaywada,"Gram Panchayat Office, Yenamalakuduru",2018,103,4,7,5,103,18,29,21,105,42,106,63,0,0,0,0
Andhra Pradesh,Vijaywada,"Indian Medical Association Hall,Eluru Road, Governorpet",2018,103,5,7,5,103,19,31,22,105,62,109,80,0,0,0,0
Andhra Pradesh,Vijaywada,"Kanakadurga Officers colony, Gurunank Road",2018,0,0,0,0,0,0,0,0,105,61,105,81,0,0,0,0
Andhra Pradesh,Vijaywada,"NTR Veterinary college of sciences, Gannavaram",2018,9,5,5,5,9,19,21,19,9,75,86,79,0,0,0,0
Andhra Pradesh,Vijaywada,Police Control Room,2016,99,5,7,6,99,32,58,44,99,61,145,107,0,0,0,0
Andhra Pradesh,Vijaywada,Police Control Room,2017,110,5,6,5,110,21,39,29,110,71,131,100,0,0,0,0
